Sum of mae_test,Column Labels,,,,,
Row Labels,MTB,POOLING,RMTB,STL,TaF,Grand Total
abalone,1.6372,1.7623,1.6277,1.6522,1.7340,8.413397768
adult_gender,,,,,,
adult_race,,,,,,
avila,,,,,,
bank,,,,,,
computer,2.1071,2.0741,2.0718,2.2033,2.0461,10.5023
landmine,,,,,,
parkinson,0.1483,7.2616,0.1098,0.0963,5.6559,13.27177507
sarcos,12.6393,12.6393,9.9837,4.6832,7.1205,47.06602351
school,8.0737,8.3143,8.0508,8.1872,8.3032,40.9290987
Grand Total,24.60559121,32.05151579,21.84379563,16.82210414,24.85962686,120.1826336
