task_id,rmse,dataset,model,accuracy,rmse_rank,accuracy_rank
0.0,7.831016120900147,school,MTB,,1.0,
1.0,11.01049030539538,school,MTB,,3.0,
2.0,8.710625494105203,school,MTB,,2.0,
3.0,9.034095370905108,school,MTB,,2.0,
4.0,9.93466618612133,school,MTB,,2.0,
5.0,5.457997345717005,school,MTB,,2.0,
6.0,12.079597566974433,school,MTB,,2.0,
7.0,8.88206901706581,school,MTB,,2.0,
8.0,8.266965605761257,school,MTB,,2.0,
9.0,12.067818322386467,school,MTB,,1.0,
10.0,9.619783900748585,school,MTB,,3.0,
11.0,9.900083814753476,school,MTB,,1.0,
12.0,4.542908149205251,school,MTB,,2.0,
13.0,6.1383845354381155,school,MTB,,1.0,
14.0,10.514327514886071,school,MTB,,1.0,
15.0,9.092864755012835,school,MTB,,1.0,
16.0,8.809063793554461,school,MTB,,2.0,
17.0,9.76612717007041,school,MTB,,1.0,
18.0,9.32813187213917,school,MTB,,2.0,
19.0,8.568948096152523,school,MTB,,2.0,
20.0,8.043488233511559,school,MTB,,1.0,
21.0,10.521069486333303,school,MTB,,1.0,
22.0,11.436569322593021,school,MTB,,2.0,
23.0,12.609963709933778,school,MTB,,2.0,
24.0,7.17730600726543,school,MTB,,2.0,
25.0,8.55685858182577,school,MTB,,2.0,
26.0,15.732555912202237,school,MTB,,2.0,
27.0,11.438497680032029,school,MTB,,3.0,
28.0,10.82602242152777,school,MTB,,2.0,
29.0,8.631845063049925,school,MTB,,1.0,
30.0,9.957760161880419,school,MTB,,2.0,
31.0,12.539150961893895,school,MTB,,2.0,
32.0,10.147511069288662,school,MTB,,3.0,
33.0,8.940755504252515,school,MTB,,2.0,
34.0,9.7664191841782,school,MTB,,1.0,
35.0,13.178332840866654,school,MTB,,3.0,
36.0,9.091872507723597,school,MTB,,2.0,
37.0,7.293864138340069,school,MTB,,2.0,
38.0,11.085788186655595,school,MTB,,2.0,
39.0,10.115214213719847,school,MTB,,1.0,
40.0,8.671144344362117,school,MTB,,1.0,
41.0,10.41335223871174,school,MTB,,2.0,
42.0,12.924357300761724,school,MTB,,3.0,
43.0,10.3258597249982,school,MTB,,2.0,
44.0,7.720801887060078,school,MTB,,2.0,
45.0,9.716165205480177,school,MTB,,1.0,
46.0,7.282137853901773,school,MTB,,1.0,
47.0,11.102490381336315,school,MTB,,2.0,
48.0,12.313397808401247,school,MTB,,3.0,
49.0,9.983474204244315,school,MTB,,2.0,
50.0,7.556015146436769,school,MTB,,1.0,
51.0,9.389406242526787,school,MTB,,3.0,
52.0,8.93505206206897,school,MTB,,1.0,
53.0,8.085567882793855,school,MTB,,2.0,
54.0,10.189205714308274,school,MTB,,2.0,
55.0,13.326256289041508,school,MTB,,1.0,
56.0,9.40256258705527,school,MTB,,2.0,
57.0,13.265591405725141,school,MTB,,1.0,
58.0,10.625720371779865,school,MTB,,1.0,
59.0,8.553983792144876,school,MTB,,1.0,
60.0,18.853342281223554,school,MTB,,1.0,
61.0,12.801291513576766,school,MTB,,2.0,
62.0,10.248858326075942,school,MTB,,1.0,
63.0,9.70731176051294,school,MTB,,2.0,
64.0,6.975711828402787,school,MTB,,2.0,
65.0,8.696390959609985,school,MTB,,2.0,
66.0,8.63729284888554,school,MTB,,2.0,
67.0,11.962099543304678,school,MTB,,3.0,
68.0,8.135545818964083,school,MTB,,3.0,
69.0,10.95021298318118,school,MTB,,3.0,
70.0,10.35647708020732,school,MTB,,2.0,
71.0,10.307599352500366,school,MTB,,1.0,
72.0,6.547222007922987,school,MTB,,2.0,
